epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,656.25,0.93407,3.88487,1.41975,0.11004,0.50798,0.1407,0.10813,0.80402,4.34374,1.33521,0.000154,0.000154,0.000154
2,995.891,0.83093,3.20561,1.36506,0.02086,0.91173,0.19296,0.14317,0.92293,3.84969,1.47836,0.000306476,0.000306476,0.000306476
3,1242.75,0.86949,2.69628,1.37728,0.27538,0.35975,0.2697,0.19265,0.98617,3.19422,1.55199,0.000452669,0.000452669,0.000452669
4,1566.33,0.87022,2.49122,1.37559,0.31019,0.44971,0.37561,0.2486,1.12047,2.90004,1.71501,0.000447726,0.000447726,0.000447726
5,3178.96,0.8886,2.35497,1.38369,0.30901,0.56241,0.44076,0.30451,1.11154,2.93496,1.72806,0.000438301,0.000438301,0.000438301
6,3503.32,0.83819,2.18407,1.34588,0.33472,0.64731,0.51248,0.35851,1.06194,2.78588,1.69393,0.000428876,0.000428876,0.000428876
7,3772.84,0.80184,2.06439,1.32015,0.41769,0.56689,0.54707,0.40723,1.00197,2.42181,1.6042,0.000419451,0.000419451,0.000419451
8,4043.59,0.81716,1.99673,1.32754,0.43962,0.69263,0.58385,0.43221,1.02735,2.36923,1.59109,0.000410026,0.000410026,0.000410026
9,28324.5,0.78869,1.88927,1.31121,0.65337,0.61239,0.65624,0.48052,0.98084,2.2006,1.5992,0.000400602,0.000400602,0.000400602
10,28709,0.77636,1.81752,1.31149,0.57127,0.62811,0.68628,0.50745,0.99728,2.12138,1.59324,0.000391177,0.000391177,0.000391177
11,33149.1,0.78671,1.71016,1.30128,0.5882,0.66275,0.66609,0.48532,1.01409,2.19195,1.60422,0.000381752,0.000381752,0.000381752
12,33905.5,0.76703,1.64548,1.2849,0.53512,0.71195,0.69309,0.53299,0.91783,2.20452,1.48553,0.000372327,0.000372327,0.000372327
13,34984.3,0.78167,1.62009,1.30152,0.60451,0.72078,0.73189,0.5651,0.94541,1.93823,1.54001,0.000362902,0.000362902,0.000362902
14,35528.9,0.70508,1.53206,1.23808,0.60375,0.77619,0.72529,0.55185,0.93361,1.92379,1.52402,0.000353478,0.000353478,0.000353478
15,36314.2,0.73732,1.49759,1.26539,0.61139,0.72304,0.73018,0.54542,0.98953,2.14548,1.60269,0.000344053,0.000344053,0.000344053
16,36788.6,0.68677,1.41164,1.2298,0.6399,0.64367,0.7016,0.53829,0.9372,2.03265,1.50225,0.000334628,0.000334628,0.000334628
17,37238.1,0.67686,1.40459,1.22047,0.64334,0.69466,0.74879,0.56446,0.95242,2.00229,1.5157,0.000325203,0.000325203,0.000325203
18,37759.7,0.67786,1.36806,1.22771,0.70414,0.74143,0.75662,0.57734,0.93371,1.8284,1.52292,0.000315778,0.000315778,0.000315778
19,38364.7,0.67421,1.42232,1.23862,0.65214,0.72878,0.74159,0.56305,0.92927,1.89236,1.50157,0.000306354,0.000306354,0.000306354
20,39094.8,0.68917,1.27548,1.22559,0.72165,0.68962,0.7294,0.55896,0.9263,1.81236,1.49415,0.000296929,0.000296929,0.000296929
21,39818.3,0.65566,1.21365,1.19238,0.73733,0.66479,0.77119,0.59,0.94881,1.76602,1.51871,0.000287504,0.000287504,0.000287504
22,40250.8,0.65354,1.22857,1.21264,0.61994,0.76981,0.75327,0.59822,0.89506,1.7037,1.46745,0.000278079,0.000278079,0.000278079
23,41028.2,0.65153,1.19182,1.1823,0.68336,0.76462,0.79518,0.62112,0.90259,1.64332,1.46334,0.000268654,0.000268654,0.000268654
24,41994.9,0.65387,1.20785,1.18967,0.68441,0.76357,0.79139,0.58983,0.9974,1.72633,1.62405,0.00025923,0.00025923,0.00025923
25,42860,0.61929,1.18118,1.18064,0.79726,0.69288,0.7743,0.60225,0.91653,1.78012,1.48653,0.000249805,0.000249805,0.000249805
26,43607.6,0.63798,1.15518,1.1966,0.71904,0.8104,0.81736,0.6355,0.88856,1.61399,1.45301,0.00024038,0.00024038,0.00024038
27,44217.1,0.61724,1.13424,1.17595,0.71059,0.75268,0.79272,0.61945,0.89469,1.65072,1.47832,0.000230955,0.000230955,0.000230955
28,44708.1,0.63583,1.12046,1.19897,0.77747,0.68516,0.7782,0.61117,0.90576,1.64575,1.49489,0.00022153,0.00022153,0.00022153
29,45508.1,0.5941,1.10504,1.17636,0.67189,0.7722,0.78091,0.61154,0.89769,1.71073,1.47433,0.000212106,0.000212106,0.000212106
30,46236.8,0.61672,1.03002,1.17088,0.70719,0.74766,0.77292,0.60033,0.92105,1.61253,1.50442,0.000202681,0.000202681,0.000202681
31,46701.3,0.60974,1.0697,1.17785,0.73182,0.7484,0.7971,0.61444,0.93918,1.68423,1.52084,0.000193256,0.000193256,0.000193256
32,47250,0.59895,1.04835,1.15411,0.67554,0.79136,0.7975,0.63052,0.87275,1.53558,1.45723,0.000183831,0.000183831,0.000183831
33,47722.2,0.56086,0.9982,1.1483,0.75889,0.78173,0.82363,0.65139,0.88927,1.48953,1.47293,0.000174406,0.000174406,0.000174406
34,48201.7,0.58111,0.98824,1.13829,0.7622,0.741,0.80608,0.64213,0.89288,1.50712,1.4557,0.000164982,0.000164982,0.000164982
35,48668.5,0.58031,0.98961,1.14527,0.77144,0.78577,0.826,0.6551,0.87144,1.49519,1.4267,0.000155557,0.000155557,0.000155557
36,49082.7,0.5895,0.97716,1.15027,0.78482,0.73605,0.82137,0.66605,0.84258,1.44905,1.39019,0.000146132,0.000146132,0.000146132
37,49809,0.56238,0.94657,1.14456,0.7814,0.74284,0.81252,0.64819,0.88596,1.49986,1.44263,0.000136707,0.000136707,0.000136707
38,50487.2,0.55538,0.9224,1.13351,0.78697,0.75871,0.82734,0.6435,0.88884,1.46566,1.46712,0.000127282,0.000127282,0.000127282
39,53105,0.56507,0.90486,1.14121,0.78414,0.77352,0.81765,0.64805,0.89514,1.46785,1.47306,0.000117858,0.000117858,0.000117858
40,53804.4,0.56509,0.91484,1.14436,0.74217,0.76915,0.80852,0.64427,0.87856,1.43266,1.45387,0.000108433,0.000108433,0.000108433
